Lake,Timepoint,Time,Depth,DO,Temperature,Light,pH,Conductivity,Chlorophyll,Phycocyanin,Production
Mendota,24,5,1,9.72,24.73,0.05,8.65,607,6.92,0.52,147.9545455
Mendota,24,5,2,9.68,24.73,0.03,8.66,607,6.92,0.52,147.9545455
Mendota,24,5,3,9.69,24.72,0.03,8.67,607,6.92,0.52,147.9545455
Mendota,24,5,4,9.71,24.72,0.02,8.68,607,6.92,0.52,147.9545455
Mendota,24,5,5,9.76,24.7,0.02,8.68,606,6.92,0.52,147.9545455
Mendota,24,5,6,9.79,24.67,0.02,8.68,607,6.92,0.52,147.9545455
Mendota,24,5,7,9.81,24.65,0.02,8.69,607,6.92,0.52,147.9545455
Mendota,24,5,8,1.1,19.17,,7.82,654,6.92,0.52,147.9545455
Mendota,24,5,9,0.24,13.05,,7.64,657,6.92,0.52,147.9545455
Mendota,24,5,10,0.21,12.89,,7.58,657,6.92,0.52,147.9545455
Mendota,28,9,0,9.53,24.55,301.2,8.66,607,5.7,0.87,28.5
Mendota,28,9,1,9.51,24.57,168.8,8.68,607,5.7,0.87,28.5
Mendota,28,9,2,9.53,24.56,83.79,8.69,607,5.7,0.87,28.5
Mendota,28,9,3,9.52,24.57,47.08,8.69,607,5.7,0.87,28.5
Mendota,28,9,4,9.52,24.56,27.85,8.69,607,5.7,0.87,28.5
Mendota,28,9,5,9.51,24.56,16.81,8.69,607,5.7,0.87,28.5
Mendota,28,9,6,9.52,24.53,9.62,8.69,607,5.7,0.87,28.5
Mendota,28,9,7,9.53,24.53,,8.69,607,5.7,0.87,28.5
Mendota,28,9,8,9.5,24.51,,8.7,607,5.7,0.87,28.5
Mendota,28,9,9,1.45,18.88,,7.87,650,5.7,0.87,28.5
Mendota,28,9,10,0.37,16.02,,7.68,655,5.7,0.87,28.5
Mendota,32,13,0,9.63,24.46,,8.69,607,5.3,0.86,36.94214876
Mendota,32,13,1,9.66,24.48,,8.7,607,5.3,0.86,36.94214876
Mendota,32,13,2,9.67,24.5,,8.7,607,5.3,0.86,36.94214876
Mendota,32,13,3,9.64,24.49,,8.71,607,5.3,0.86,36.94214876
Mendota,32,13,4,9.61,24.49,,8.71,607,5.3,0.86,36.94214876
