year4,sampledate,daynum,month,hour,tot_precip,avg_air_temp,avg_rel_hum,avg_wind_speed_1m,avg_wind_speed_2m,avg_wind_speed_3m,avg_wind_dir,avg_barom_pres,sat_vapor_pres,avg_vapor_pres,avg_par,evaporative_heat_flux,sensible_heat_flux,avg_opt_do_raw,avg_opt_dosat_raw,avg_opt_wtemp,avg_gpn_do,avg_gpn_dosat,avg_gpn_wtemp,flag_tot_precip,flag_avg_air_temp,flag_avg_rel_hum,flag_avg_wind_speed_1m,flag_avg_wind_speed_2m,flag_avg_wind_speed_3m,flag_avg_wind_dir,flag_avg_barom_pres,flag_sat_vapor_pres,flag_avg_vapor_pres,flag_avg_par,flag_evaporative_heat_flux,flag_sensible_heat_flux,flag_avg_gpn_do,flag_avg_gpn_dosat,flag_avg_gpn_wtemp,flag_avg_opt_do_raw,flag_avg_opt_dosat_raw,flag_avg_opt_wtemp
2016,5/7/2016 0:00,128,5,600,,8.825,67.067,,2.237,,193.22,,1.134,0.76,250.242,,,12.19,110.69,11.07,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,700,,9.982,57.085,,3.392,,100.47,,1.226,0.699,421.77,,,12.19,110.71,11.07,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,800,,10.975,50.442,,3.892,,174.77,,1.31,0.66,596.41,,,12.17,111.1,11.29,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,900,,12.157,36.523,,5.087,,167.02,,1.416,0.517,753.115,,,12.25,111.43,11.11,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,1000,,12.735,33.687,,5.575,,159.35,,1.471,0.495,836.19,,,12.26,111.68,11.2,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,1100,,12.865,31.633,,5.603,,134.38,,1.484,0.469,901.535,,,12.18,111.8,11.53,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,1200,,13.315,29.725,,5.592,,180.53,,1.528,0.454,905.157,,,12.09,111.98,11.9,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,1300,,13.528,29.618,,5.758,,216.73,,1.549,0.459,704.65,,,12.12,112.2,11.91,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,1400,,13.962,30.085,,5.288,,189.33,,1.593,0.479,617.627,,,12.15,112.67,11.96,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,1500,,14.227,30.77,,4.867,,156.7,,1.621,0.499,413.803,,,12.21,112.87,11.83,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,1600,,14.488,27.787,,5.215,,215.57,,1.649,0.458,424.15,,,12.26,113,11.71,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,1700,,14.213,27.488,,5.428,,217.17,,1.62,0.445,253.867,,,12.24,112.76,11.67,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,1800,,13.377,29.3,,4.285,,238.85,,1.534,0.449,59.778,,,12.22,112.73,11.75,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,1900,,11.567,37.792,,1.377,,287.5,,1.364,0.51,0.122,,,12.07,112.18,12.05,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,2000,,7.66,61.128,,1.038,,220.08,,1.049,0.64,0,,,12.02,111.51,11.97,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,2100,,6.028,67.878,,1.027,,217.87,,0.937,0.635,0,,,12.03,111.1,11.8,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,2200,,5.458,74.887,,0.807,,222.27,,0.9,0.674,0,,,12.02,110.92,11.74,,,,,,,,,,,,,,,,,,,,,,
2016,5/7/2016 0:00,128,5,2300,,5.512,71.247,,1.11,,250.57,,0.903,0.644,0,,,12,110.78,11.78,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,0,,7.255,60.942,,2.123,,121.22,,1.021,0.617,0,,,12.02,110.82,11.72,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,100,,7.928,54.647,,1.377,,153,,1.067,0.583,0,,,11.99,110.52,11.7,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,200,,6.698,63.638,,1.305,,133.02,,0.981,0.624,0,,,11.98,110.4,11.69,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,300,,4.708,77.695,,0.932,,222.47,,0.856,0.663,0,,,11.94,109.91,11.64,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,400,,3.48,83.563,,0.775,,208.65,,0.784,0.655,4.192,,,11.95,109.66,11.52,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,500,,3.88,79.09,,0.62,,247.78,,0.807,0.637,89.008,,,11.93,109.35,11.46,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,600,,7.005,66.505,,0.638,,99.82,,1.003,0.665,241.077,,,11.99,109.77,11.43,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,700,,8.947,56.28,,2.393,,37.12,,1.143,0.643,415.952,,,12.04,110.39,11.47,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,800,,10.115,45.063,,1.45,,51.82,,1.237,0.556,592.103,,,12.06,110.83,11.56,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,900,,11.405,36.678,,2.068,,51.42,,1.348,0.494,732.857,,,12.07,111.58,11.85,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,1000,,12.49,34.395,,3.527,,78.63,,1.448,0.498,824.59,,,12.07,112.03,12.01,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,1100,,13.422,32.178,,3.445,,76.45,,1.539,0.495,874.483,,,12.07,112.27,12.1,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,1200,,14.613,28.99,,4.242,,194.33,,1.663,0.481,870.517,,,12.09,112.57,12.16,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,1300,,15.277,26.017,,4.192,,165,,1.735,0.451,806.967,,,12.08,112.82,12.3,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,1400,,15.488,25.305,,4.803,,122.5,,1.759,0.445,707.852,,,12.1,113.14,12.35,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,1500,,15.365,25.168,,4.755,,141.67,,1.745,0.439,562.69,,,12.14,113.34,12.27,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,1600,,15.453,24.053,,3.267,,186.83,,1.755,0.422,405.663,,,12.16,114.26,12.57,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,1700,,15.2,25.637,,2.75,,63.07,,1.726,0.442,231.273,,,12.08,114.13,12.81,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,1800,,14.303,33.275,,1.332,,86.6,,1.63,0.539,56.532,,,12.04,114.05,12.9,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,1900,,12.423,40.872,,1.043,,98.03,,1.444,0.581,0.925,,,12.02,113.85,12.9,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,2000,,8.925,62.777,,0.69,,200.03,,1.142,0.717,0,,,12.03,113.71,12.83,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,2100,,7.685,60.365,,0.637,,140.17,,1.049,0.633,0,,,12.01,113.13,12.64,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,2200,,8.945,48.048,,1.455,,132.42,,1.144,0.547,0,,,11.98,112.45,12.52,,,,,,,,,,,,,,,,,,,,,,
2016,5/8/2016 0:00,129,5,2300,,8.793,53.78,,2.172,,136.02,,1.132,0.608,0,,,11.99,112.29,12.42,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,0,,7.807,60.98,,2.358,,145.32,,1.058,0.645,0,,,12.01,112.33,12.35,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,100,,7.352,59.963,,2.097,,152.33,,1.026,0.615,0,,,12.02,112.11,12.22,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,200,,6.612,62.307,,1.64,,153.22,,0.975,0.607,0,,,12.05,112.02,12.06,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,300,,6.31,60.222,,2.52,,157.42,,0.955,0.575,0,,,12.04,111.78,12,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,400,,6.155,57.392,,2.757,,155.18,,0.945,0.542,2.542,,,12.04,111.53,11.93,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,500,,6.302,56.708,,3.308,,153.27,,0.954,0.541,92.992,,,12.02,111.22,11.88,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,600,,7.497,52.935,,3.752,,145.63,,1.036,0.548,257.5,,,12.04,111.23,11.79,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,700,,8.863,49.793,,5.167,,162.88,,1.137,0.566,434.733,,,12.05,111.25,11.79,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,800,,9.977,45.815,,4.543,,148.67,,1.226,0.561,499.372,,,12.05,111.45,11.85,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,900,,11.15,42.488,,3.892,,148.9,,1.326,0.562,601.473,,,12.05,111.69,11.96,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,1000,,13.2,36.772,,3.698,,141.12,,1.517,0.557,783.113,,,12.03,112.05,12.17,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,1100,,14.95,31.875,,3.317,,123.43,,1.699,0.541,864,,,12,112.49,12.46,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,1200,,16.428,26.103,,3.928,,125.12,,1.868,0.487,882.783,,,11.98,113.13,12.79,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,1300,,17.223,23.953,,4.632,,147.28,,1.964,0.47,829.078,,,11.99,113.36,12.84,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,1400,,17.513,24.422,,4.633,,145.93,,2,0.489,691.898,,,11.98,113.47,12.89,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,1500,,17.592,25.747,,3.823,,132.62,,2.01,0.518,402.532,,,12,113.57,12.86,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,1600,,17.185,28.22,,4.732,,137.07,,1.96,0.553,226.818,,,12.01,113.65,12.85,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,1700,,16.408,30.88,,4.948,,159.3,,1.865,0.576,130.952,,,12.1,114.03,12.68,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,1800,,15.195,33.308,,4.782,,150.3,,1.726,0.575,42.538,,,12.11,113.88,12.59,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,1900,,13.772,34.347,,3.76,,144.65,,1.574,0.54,0.122,,,12.11,113.66,12.5,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,2000,,12.432,38.12,,2.337,,130.2,,1.442,0.549,0,,,12.09,113.09,12.33,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,2100,,11.357,39.283,,2.983,,130.1,,1.343,0.528,0,,,12.02,113.15,12.63,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,2200,,10.332,41.212,,3.435,,135.55,,1.255,0.517,0,,,12.05,112.86,12.42,,,,,,,,,,,,,,,,,,,,,,
2016,5/9/2016 0:00,130,5,2300,,9.37,41.847,,2.893,,117.15,,1.177,0.492,0,,,11.98,112.49,12.51,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,0,,8.625,37.445,,3.002,,116.9,,1.119,0.419,0,,,11.96,112.25,12.51,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,100,,7.802,41.347,,1.613,,116.17,,1.058,0.437,0,,,11.94,111.88,12.42,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,200,,8.172,49.92,,2.625,,120.77,,1.085,0.541,0,,,11.92,111.49,12.36,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,300,,7.89,53.525,,3.168,,108.55,,1.064,0.569,0,,,11.9,111.19,12.31,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,400,,7.392,57.282,,3.422,,113.28,,1.028,0.589,2.377,,,11.88,110.75,12.2,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,500,,7.445,56.783,,3.845,,115.75,,1.032,0.586,47.755,,,11.88,110.52,12.12,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,600,,8.71,52.272,,4.472,,129.9,,1.126,0.588,207.127,,,11.89,110.48,12.05,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,700,,10.353,48.815,,5.865,,133.53,,1.257,0.613,313.007,,,11.95,110.63,11.88,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,800,,11.17,44.452,,6.018,,132.25,,1.327,0.59,242.258,,,11.96,110.65,11.88,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,900,,12.062,38.942,,5.223,,131.37,,1.408,0.548,351.007,,,11.97,110.81,11.89,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,1000,,12.893,33.593,,5.683,,128.4,,1.486,0.499,409.417,,,11.98,110.93,11.89,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,1100,,13.728,29.062,,6.54,,131.47,,1.57,0.456,357.068,,,11.99,111.16,11.96,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,1200,,12.875,33.367,,4.945,,142.67,,1.487,0.491,156.527,,,12.02,111.64,12.03,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,1300,,10.79,53.452,,2.783,,176.63,,1.294,0.691,109.362,,,11.96,111.24,12.12,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,1400,,9.862,66.073,,2.23,,175.83,,1.216,0.803,82.247,,,11.92,111.05,12.16,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,1500,,10.462,61.613,,2.152,,168.03,,1.266,0.779,59.123,,,11.92,111.1,12.19,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,1600,,11.293,52.097,,3.23,,133.78,,1.337,0.697,39.003,,,11.91,110.93,12.18,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,1700,,11.472,53.788,,2.983,,122.48,,1.353,0.728,43.653,,,12.02,111.41,11.96,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,1800,,11.588,53.028,,2.713,,115.37,,1.364,0.723,10.308,,,12.01,111.25,11.94,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,1900,,11.593,51.812,,2.007,,102.8,,1.364,0.707,0,,,11.91,110.71,12.08,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,2000,,11.675,46.525,,2.332,,102.48,,1.372,0.638,0,,,11.89,110.53,12.08,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,2100,,11.497,43.115,,1.802,,100.67,,1.356,0.585,0,,,11.88,110.36,12.04,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,2200,,11.012,43.142,,1.328,,78.93,,1.313,0.566,0,,,11.87,110.18,12.02,,,,,,,,,,,,,,,,,,,,,,
2016,5/10/2016 0:00,131,5,2300,,10.748,42.9,,1.588,,107.42,,1.29,0.553,0,,,11.87,110.04,11.97,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,0,,10.548,45.172,,0.812,,148.45,,1.273,0.575,0,,,11.84,109.83,11.97,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,100,,10.133,48.888,,1.222,,114.93,,1.238,0.604,0,,,11.82,109.62,11.98,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,200,,9.377,57.075,,0.905,,69.43,,1.177,0.671,0,,,11.79,109.37,11.97,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,300,,9.497,59.278,,0.655,,94.35,,1.187,0.703,0,,,11.77,109.11,11.97,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,400,,9.38,62.807,,0.713,,110.3,,1.177,0.739,0,,,11.75,108.91,11.96,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,500,,9.717,59.533,,2.137,,162.05,,1.204,0.717,5.648,,,11.74,108.72,11.92,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,600,,9.858,60.855,,2.758,,136.38,,1.216,0.74,133.025,,,11.81,109.15,11.81,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,700,,10.378,62.43,,3.828,,142.18,,1.258,0.786,121.408,,,11.81,109.22,11.84,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,800,,10.253,64.272,,4.18,,163.87,,1.248,0.802,80.945,,,11.82,109.22,11.82,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,900,,9.44,73.643,,3.98,,161.68,,1.182,0.87,244.317,,,11.83,109.36,11.84,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,1000,,10.147,70.878,,4.03,,157.87,,1.239,0.878,218.748,,,11.83,109.5,11.87,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,1100,,10.75,71.12,,4.403,,145.47,,1.29,0.918,415.03,,,11.84,109.66,11.92,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,1200,,12.082,70.133,,4.625,,162.48,,1.409,0.988,314.99,,,11.84,109.95,12.02,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,1300,,12.855,69.327,,4.002,,172.92,,1.483,1.028,227.317,,,11.85,110.05,12.05,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,1400,,13.227,70.197,,4.333,,171.25,,1.519,1.066,333.703,,,11.84,110.1,12.1,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,1500,,13.852,70.268,,4.035,,171.48,,1.582,1.112,239.053,,,11.84,110.3,12.17,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,1600,,14.167,70.967,,3.823,,180.67,,1.615,1.146,112.458,,,11.84,110.35,12.18,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,1700,,13.797,73.007,,3.765,,167.48,,1.577,1.151,45.762,,,11.84,110.32,12.17,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,1800,,13.098,76.315,,3.043,,170.63,,1.506,1.149,9.04,,,11.81,110.12,12.19,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,1900,,12.528,80.478,,3.003,,183.75,,1.451,1.168,0,,,11.77,109.88,12.26,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,2000,,11.965,83.922,,2.317,,181.75,,1.398,1.173,0,,,11.79,109.91,12.22,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,2100,,11.623,85.687,,2.398,,175.12,,1.367,1.171,0,,,11.79,109.9,12.19,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,2200,,11.517,86.548,,2.218,,184.68,,1.358,1.175,0,,,11.78,109.75,12.16,,,,,,,,,,,,,,,,,,,,,,
2016,5/11/2016 0:00,132,5,2300,,11.44,87.723,,2.287,,188.18,,1.351,1.185,0,,,11.76,109.57,12.17,,,,,,,,,,,,,,,,,,,,,,
2016,5/12/2016 0:00,133,5,0,,11.4,88.575,,1.75,,194.27,,1.347,1.193,0,,,11.72,109.31,12.21,,,,,,,,,,,,,,,,,,,,,,
2016,5/12/2016 0:00,133,5,100,,11.448,88.777,,1.712,,197.08,,1.351,1.2,0,,,11.68,108.91,12.23,,,,,,,,,,,,,,,,,,,,,,
2016,5/12/2016 0:00,133,5,200,,11.473,88.657,,1.75,,217.97,,1.354,1.2,0,,,11.65,108.7,12.22,,,,,,,,,,,,,,,,,,,,,,
2016,5/12/2016 0:00,133,5,300,,11.37,88.297,,1.408,,239.58,,1.344,1.187,0,,,11.65,108.59,12.2,,,,,,,,,,,,,,,,,,,,,,
2016,5/12/2016 0:00,133,5,400,,11.145,88.032,,1.493,,257.87,,1.325,1.166,0.018,,,11.65,108.56,12.19,,,,,,,,,,,,,,,,,,,,,,
